,date,Origin,ArrDelay
24,1996-05-31,STL,7.625412541254126
25,1996-06-30,ATL,5.081397533028614
26,1996-06-30,DFW,8.328405100720754
27,1996-06-30,LAX,4.514916223947691
28,1996-06-30,ORD,9.682304737516006
29,1996-06-30,STL,5.978000674308833
30,1996-07-31,ATL,5.169583103088352
31,1996-07-31,DFW,10.65469847420683
32,1996-07-31,LAX,3.7787430539250217
33,1996-07-31,ORD,8.310570626753975
34,1996-07-31,STL,5.350195198936789
35,1996-08-31,ATL,6.367468036948676
36,1996-08-31,DFW,12.11403405060298
37,1996-08-31,LAX,6.572476777769105
38,1996-08-31,ORD,6.665748438191746
39,1996-08-31,STL,5.436595535933284
40,1996-09-30,ATL,2.8890714872637635
41,1996-09-30,DFW,6.119296519493298
42,1996-09-30,LAX,3.872299607973976
43,1996-09-30,ORD,3.9535028219334127
44,1996-09-30,STL,3.2873332752157616
45,1996-10-31,ATL,3.2111298889425397
46,1996-10-31,DFW,5.565569945163925
47,1996-10-31,LAX,7.327520305781175
48,1996-10-31,ORD,4.464851808987068
49,1996-10-31,STL,3.9060976652698196
50,1996-11-30,ATL,3.703929626300244
51,1996-11-30,DFW,4.483032310480595
52,1996-11-30,LAX,3.908714043993232
53,1996-11-30,ORD,0.47024901703800787
54,1996-11-30,STL,2.1011712625657104
55,1996-12-31,ATL,6.83686624519648
56,1996-12-31,DFW,7.866887534757144
57,1996-12-31,LAX,12.857937806873977
58,1996-12-31,ORD,11.074826046318414
59,1996-12-31,STL,9.183074728018548
0,1997-01-31,ATL,6.085685859967666
1,1997-01-31,DFW,6.3017474772335715
2,1997-01-31,LAX,11.073369123149504
3,1997-01-31,ORD,8.79695566554899
4,1997-01-31,STL,6.645083487940631
5,1997-02-28,ATL,7.577154038189056
6,1997-02-28,DFW,4.811672998820909
7,1997-02-28,LAX,2.5410671194923586
8,1997-02-28,ORD,4.586666666666667
9,1997-02-28,STL,2.3980854766969637
10,1997-03-31,ATL,5.616683756559503
11,1997-03-31,DFW,1.734491604477612
12,1997-03-31,LAX,3.4140612473945806
13,1997-03-31,ORD,1.7566497461928934
14,1997-03-31,STL,1.3558369674605837
15,1997-04-30,ATL,6.941754169240272
16,1997-04-30,DFW,2.033487017714147
17,1997-04-30,LAX,3.5506013253702036
18,1997-04-30,ORD,0.3234343745191568
19,1997-04-30,STL,-0.20757496966545327
20,1997-05-31,ATL,5.167532774300224
21,1997-05-31,DFW,-1.73119850406124
22,1997-05-31,LAX,3.1403911631958192
23,1997-05-31,ORD,-0.7562186559679037
24,1997-05-31,STL,-1.873978315262719
25,1997-06-30,ATL,10.891484911861369
26,1997-06-30,DFW,3.692047273174935
27,1997-06-30,LAX,6.1185931280968235
28,1997-06-30,ORD,5.273052180128663
29,1997-06-30,STL,1.6244946091644206
30,1997-07-31,ATL,9.589664052440595
31,1997-07-31,DFW,1.1880806310254164
32,1997-07-31,LAX,4.109065701301702
33,1997-07-31,ORD,5.027512494433173
34,1997-07-31,STL,1.697702442159383
35,1997-08-31,ATL,4.418045457147764
36,1997-08-31,DFW,-1.9927353682113773
37,1997-08-31,LAX,4.420659708996724
38,1997-08-31,ORD,2.5116951895258177
39,1997-08-31,STL,3.022351400032749
40,1997-09-30,ATL,1.5293552647376636
41,1997-09-30,DFW,-2.22520355292376
42,1997-09-30,LAX,-0.13836227497212045
43,1997-09-30,ORD,-1.3752900531119476
44,1997-09-30,STL,-1.134047801309858
45,1997-10-31,ATL,3.3907165651290976
46,1997-10-31,DFW,2.152087651761919
47,1997-10-31,LAX,3.776025731544677
48,1997-10-31,ORD,0.9115149121074462
49,1997-10-31,STL,0.5884565075212557
50,1997-11-30,ATL,7.046648987463838
51,1997-11-30,DFW,-0.09942061143984221
52,1997-11-30,LAX,2.28690036900369
53,1997-11-30,ORD,0.9957956359765833
54,1997-11-30,STL,2.783499690840032
55,1997-12-31,ATL,7.05099661965264
56,1997-12-31,DFW,3.643371325734853
57,1997-12-31,LAX,5.567227926078028
58,1997-12-31,ORD,1.665757162346521
59,1997-12-31,STL,7.368846815834767
0,1998-01-31,ATL,5.042379224966891
1,1998-01-31,DFW,0.24178545542401547
2,1998-01-31,LAX,4.325269262634631
3,1998-01-31,ORD,3.933236183074266
4,1998-01-31,STL,3.829834156669019
5,1998-02-28,ATL,5.348746731296639
6,1998-02-28,DFW,-0.7696973736835089
7,1998-02-28,LAX,8.308052434456929
8,1998-02-28,ORD,0.31577456811101673
9,1998-02-28,STL,1.1432866672930564
10,1998-03-31,ATL,6.2829282241921645
11,1998-03-31,DFW,0.7325312917729979
12,1998-03-31,LAX,2.930414516397536
13,1998-03-31,ORD,3.681961779481071
14,1998-03-31,STL,6.198238993710691
15,1998-04-30,ATL,7.031148220524664
