,date,Origin,ArrDelay
28,1995-06-30,ORD,13.074158440901037
29,1995-06-30,STL,11.715458466675942
30,1995-07-31,ATL,9.662485158226215
31,1995-07-31,DFW,6.926844253302321
32,1995-07-31,LAX,6.979485169214687
33,1995-07-31,ORD,11.48892068683565
34,1995-07-31,STL,6.060669456066946
35,1995-08-31,ATL,9.464572158365263
36,1995-08-31,DFW,5.369350898621532
37,1995-08-31,LAX,8.788060463039734
38,1995-08-31,ORD,14.570074312110865
39,1995-08-31,STL,10.867593269934162
40,1995-09-30,ATL,5.58121078878224
41,1995-09-30,DFW,3.5801334796123605
42,1995-09-30,LAX,4.109509495832764
43,1995-09-30,ORD,3.3541139774068456
44,1995-09-30,STL,3.566958347917396
45,1995-10-31,ATL,10.441583043211141
46,1995-10-31,DFW,4.214160762704452
47,1995-10-31,LAX,7.792266068364788
48,1995-10-31,ORD,6.0079883805374
49,1995-10-31,STL,5.60714522876685
50,1995-11-30,ATL,14.632329892449873
51,1995-11-30,DFW,3.497365353229191
52,1995-11-30,LAX,15.380703119473722
53,1995-11-30,ORD,11.28233316088981
54,1995-11-30,STL,6.525051088718202
55,1995-12-31,ATL,20.699604743083004
56,1995-12-31,DFW,14.687439190503989
57,1995-12-31,LAX,18.606804123711342
58,1995-12-31,ORD,15.033808588747545
59,1995-12-31,STL,20.051350779431473
0,1996-01-31,ATL,25.07881237369812
1,1996-01-31,DFW,17.19112883129828
2,1996-01-31,LAX,12.594203905761345
3,1996-01-31,ORD,21.064463778569174
4,1996-01-31,STL,23.068835318036594
5,1996-02-29,ATL,17.749493622379152
6,1996-02-29,DFW,10.351413578924824
7,1996-02-29,LAX,12.12806954002173
8,1996-02-29,ORD,10.437780168549398
9,1996-02-29,STL,8.110023918243096
10,1996-03-31,ATL,16.29213093646313
11,1996-03-31,DFW,8.422760290556901
12,1996-03-31,LAX,9.396713140701825
