,date,dest_city,origin_city,DepDelay
10,1996-03-31,Minneapolis,Chicago,1.8145973154362416
11,1996-03-31,Las Vegas,Los Angeles,4.62233589087809
12,1996-03-31,San Francisco,Los Angeles,7.6416131989000915
13,1996-03-31,Chicago,Minneapolis,0.47480106100795755
14,1996-03-31,Los Angeles,San Francisco,4.585232452142206
15,1996-04-30,Minneapolis,Chicago,0.5673076923076923
16,1996-04-30,Las Vegas,Los Angeles,2.1508474576271186
17,1996-04-30,San Francisco,Los Angeles,3.4048473967684023
18,1996-04-30,Chicago,Minneapolis,-0.312346688470973
19,1996-04-30,Los Angeles,San Francisco,2.231404958677686
20,1996-05-31,Minneapolis,Chicago,5.5215859030837
21,1996-05-31,Las Vegas,Los Angeles,1.4995938261575954
22,1996-05-31,San Francisco,Los Angeles,4.696078431372549
23,1996-05-31,Chicago,Minneapolis,4.358422939068101
24,1996-05-31,Los Angeles,San Francisco,2.6371603856266432
25,1996-06-30,Minneapolis,Chicago,5.119555935098207
26,1996-06-30,Las Vegas,Los Angeles,3.0386831275720163
27,1996-06-30,San Francisco,Los Angeles,5.74502712477396
28,1996-06-30,Chicago,Minneapolis,4.2973684210526315
29,1996-06-30,Los Angeles,San Francisco,3.2651245551601424
30,1996-07-31,Minneapolis,Chicago,3.4751054852320675
31,1996-07-31,Las Vegas,Los Angeles,3.052023121387283
32,1996-07-31,San Francisco,Los Angeles,4.140694568121104
33,1996-07-31,Chicago,Minneapolis,1.7366320830007982
34,1996-07-31,Los Angeles,San Francisco,2.708369283865401
35,1996-08-31,Minneapolis,Chicago,1.8635593220338984
36,1996-08-31,Las Vegas,Los Angeles,4.588142292490119
37,1996-08-31,San Francisco,Los Angeles,6.083935018050542
38,1996-08-31,Chicago,Minneapolis,0.6677115987460815
39,1996-08-31,Los Angeles,San Francisco,4.518266779949023
40,1996-09-30,Minneapolis,Chicago,0.20684039087947884
41,1996-09-30,Las Vegas,Los Angeles,3.1969330104923324
42,1996-09-30,San Francisco,Los Angeles,8.220657276995306
43,1996-09-30,Chicago,Minneapolis,-0.6047658175842235
44,1996-09-30,Los Angeles,San Francisco,5.0009017132551845
45,1996-10-31,Minneapolis,Chicago,0.43025078369905956
46,1996-10-31,Las Vegas,Los Angeles,8.041800643086816
47,1996-10-31,San Francisco,Los Angeles,12.415505226480835
48,1996-10-31,Chicago,Minneapolis,-0.5493630573248408
49,1996-10-31,Los Angeles,San Francisco,10.461323392357874
50,1996-11-30,Minneapolis,Chicago,1.1075367647058822
51,1996-11-30,Las Vegas,Los Angeles,5.893760539629005
52,1996-11-30,San Francisco,Los Angeles,10.490512333965844
53,1996-11-30,Chicago,Minneapolis,0.7041095890410959
54,1996-11-30,Los Angeles,San Francisco,7.066981132075472
55,1996-12-31,Minneapolis,Chicago,6.719811320754717
56,1996-12-31,Las Vegas,Los Angeles,14.313482216708023
57,1996-12-31,San Francisco,Los Angeles,22.32850241545894
58,1996-12-31,Chicago,Minneapolis,6.514009661835749
59,1996-12-31,Los Angeles,San Francisco,18.640075973409306
0,1997-01-31,Minneapolis,Chicago,5.116257088846881
1,1997-01-31,Las Vegas,Los Angeles,9.984153461217682
2,1997-01-31,San Francisco,Los Angeles,19.557956777996072
3,1997-01-31,Chicago,Minneapolis,2.538038496791934
4,1997-01-31,Los Angeles,San Francisco,15.010978043912175
5,1997-02-28,Minneapolis,Chicago,2.7524557956777995
6,1997-02-28,Las Vegas,Los Angeles,3.826047358834244
7,1997-02-28,San Francisco,Los Angeles,9.232809430255402
8,1997-02-28,Chicago,Minneapolis,1.5388302972195589
9,1997-02-28,Los Angeles,San Francisco,7.270916334661354
10,1997-03-31,Minneapolis,Chicago,2.3601083032490973
11,1997-03-31,Las Vegas,Los Angeles,3.7584415584415583
12,1997-03-31,San Francisco,Los Angeles,7.10692375109553
13,1997-03-31,Chicago,Minneapolis,2.156751652502361
14,1997-03-31,Los Angeles,San Francisco,3.2388737511353316
15,1997-04-30,Minneapolis,Chicago,0.43783303730017764
16,1997-04-30,Las Vegas,Los Angeles,2.684636118598383
17,1997-04-30,San Francisco,Los Angeles,4.780509218612818
18,1997-04-30,Chicago,Minneapolis,0.37074517019319225
19,1997-04-30,Los Angeles,San Francisco,2.1262975778546713
