,date,Origin,DepDelay
59,1998-12-31,STL,4.809005961011761
0,1999-01-31,ATL,6.368697660987583
1,1999-01-31,DFW,5.82970969734404
2,1999-01-31,LAX,3.870797191243288
3,1999-01-31,ORD,11.437864840592725
4,1999-01-31,STL,11.936900235379323
5,1999-02-28,ATL,3.107054729515976
6,1999-02-28,DFW,2.325067464079936
7,1999-02-28,LAX,3.044766475909175
8,1999-02-28,ORD,2.1025184855729138
9,1999-02-28,STL,1.6023565389458536
10,1999-03-31,ATL,4.340384831776753
11,1999-03-31,DFW,4.891663606316563
12,1999-03-31,LAX,3.452809167595098
13,1999-03-31,ORD,3.1270142666529814
14,1999-03-31,STL,1.7734863474475664
15,1999-04-30,ATL,4.7724873730208275
16,1999-04-30,DFW,4.7725720789074355
17,1999-04-30,LAX,4.17672841548131
18,1999-04-30,ORD,4.812959116469933
19,1999-04-30,STL,3.5239919881564052
20,1999-05-31,ATL,3.22149050598178
21,1999-05-31,DFW,7.864724879653891
22,1999-05-31,LAX,2.2562586392259254
23,1999-05-31,ORD,4.4320323014804845
24,1999-05-31,STL,2.8175784905981454
25,1999-06-30,ATL,6.8699487763232785
26,1999-06-30,DFW,6.967207163601162
27,1999-06-30,LAX,4.113529458662202
28,1999-06-30,ORD,7.356572335361015
29,1999-06-30,STL,9.286742204945828
30,1999-07-31,ATL,6.778338817655736
31,1999-07-31,DFW,5.320735864582109
32,1999-07-31,LAX,3.785575200560791
33,1999-07-31,ORD,7.0485266845250365
34,1999-07-31,STL,6.11564459646551
35,1999-08-31,ATL,4.075345102568333
36,1999-08-31,DFW,1.853254102999434
37,1999-08-31,LAX,4.543661547726589
38,1999-08-31,ORD,3.0823914901700067
39,1999-08-31,STL,2.1675009626492105
40,1999-09-30,ATL,1.5420118343195266
41,1999-09-30,DFW,0.7028989856551228
42,1999-09-30,LAX,4.555448265616876
43,1999-09-30,ORD,0.8744730679156909
44,1999-09-30,STL,0.04708904109589041
45,1999-10-31,ATL,5.063258611262985
46,1999-10-31,DFW,0.8129463779616823
47,1999-10-31,LAX,2.6462866519226655
48,1999-10-31,ORD,1.884862737569591
49,1999-10-31,STL,0.8001596806387226
50,1999-11-30,ATL,1.9468819535573687
51,1999-11-30,DFW,0.29585545992797413
52,1999-11-30,LAX,3.6602545348156816
53,1999-11-30,ORD,0.8850993033170428
