,date,UniqueCarrier,DepDelay
12,1996-03-31,UA,4.048675126316195
13,1996-03-31,US,6.647181080753864
14,1996-03-31,WN,3.399747815905611
15,1996-04-30,AA,1.9851931708175659
16,1996-04-30,DL,2.5241001241208108
17,1996-04-30,UA,2.5364182543928235
18,1996-04-30,US,4.312215507769581
19,1996-04-30,WN,2.3585933986869323
20,1996-05-31,AA,1.815052876159041
21,1996-05-31,DL,2.150782953089378
22,1996-05-31,UA,5.414850285123885
23,1996-05-31,US,3.4494638776586393
24,1996-05-31,WN,2.39959594552231
25,1996-06-30,AA,3.7517101208558254
26,1996-06-30,DL,3.631543313847881
27,1996-06-30,UA,5.178405678405678
28,1996-06-30,US,4.336048372015709
29,1996-06-30,WN,3.283179735729574
30,1996-07-31,AA,5.172959515046547
31,1996-07-31,DL,3.674867555643032
32,1996-07-31,UA,4.639352916776651
33,1996-07-31,US,3.2665145351721403
34,1996-07-31,WN,2.28514228759967
35,1996-08-31,AA,4.340317013652252
36,1996-08-31,DL,3.8565865796319336
