,date,dest_city,origin_city,ArrDelay
56,1998-12-31,Las Vegas,Los Angeles,7.969006381039198
57,1998-12-31,San Francisco,Los Angeles,1.0140540540540541
58,1998-12-31,Chicago,Minneapolis,-2.980691056910569
59,1998-12-31,Los Angeles,San Francisco,2.6565874730021597
0,1999-01-31,Minneapolis,Chicago,11.240217391304348
1,1999-01-31,Las Vegas,Los Angeles,2.552973977695167
2,1999-01-31,San Francisco,Los Angeles,2.71509009009009
3,1999-01-31,Chicago,Minneapolis,12.530567685589519
4,1999-01-31,Los Angeles,San Francisco,1.533408833522084
5,1999-02-28,Minneapolis,Chicago,-1.0072765072765073
6,1999-02-28,Las Vegas,Los Angeles,2.310598111227702
7,1999-02-28,San Francisco,Los Angeles,0.6497584541062802
8,1999-02-28,Chicago,Minneapolis,-1.7163865546218486
9,1999-02-28,Los Angeles,San Francisco,2.597069597069597
10,1999-03-31,Minneapolis,Chicago,-2.1610414657666346
11,1999-03-31,Las Vegas,Los Angeles,1.8260437375745526
12,1999-03-31,San Francisco,Los Angeles,3.727272727272727
13,1999-03-31,Chicago,Minneapolis,-2.7828947368421053
14,1999-03-31,Los Angeles,San Francisco,4.681818181818182
15,1999-04-30,Minneapolis,Chicago,2.448
16,1999-04-30,Las Vegas,Los Angeles,5.773895169578623
17,1999-04-30,San Francisco,Los Angeles,5.265237020316027
18,1999-04-30,Chicago,Minneapolis,3.9087301587301586
19,1999-04-30,Los Angeles,San Francisco,0.8953229398663697
20,1999-05-31,Minneapolis,Chicago,2.723404255319149
21,1999-05-31,Las Vegas,Los Angeles,2.9555774925962486
22,1999-05-31,San Francisco,Los Angeles,6.118336886993603
23,1999-05-31,Chicago,Minneapolis,6.3226744186046515
24,1999-05-31,Los Angeles,San Francisco,0.4645922746781116
25,1999-06-30,Minneapolis,Chicago,6.262425447316104
26,1999-06-30,Las Vegas,Los Angeles,5.404984423676012
27,1999-06-30,San Francisco,Los Angeles,4.2773645058448455
28,1999-06-30,Chicago,Minneapolis,5.22398414271556
29,1999-06-30,Los Angeles,San Francisco,2.9873417721518987
30,1999-07-31,Minneapolis,Chicago,6.838403041825095
31,1999-07-31,Las Vegas,Los Angeles,7.701125895598771
32,1999-07-31,San Francisco,Los Angeles,3.2219917012448134
33,1999-07-31,Chicago,Minneapolis,6.702960840496657
34,1999-07-31,Los Angeles,San Francisco,2.6212278876170654
35,1999-08-31,Minneapolis,Chicago,2.0794824399260627
36,1999-08-31,Las Vegas,Los Angeles,7.708962739174219
37,1999-08-31,San Francisco,Los Angeles,15.33841131664853
38,1999-08-31,Chicago,Minneapolis,1.5121042830540037
39,1999-08-31,Los Angeles,San Francisco,10.66200215285253
40,1999-09-30,Minneapolis,Chicago,-1.9585296889726673
41,1999-09-30,Las Vegas,Los Angeles,11.112359550561798
42,1999-09-30,San Francisco,Los Angeles,13.45479704797048
43,1999-09-30,Chicago,Minneapolis,-2.2711069418386494
44,1999-09-30,Los Angeles,San Francisco,13.860550458715597
45,1999-10-31,Minneapolis,Chicago,0.9790528233151184
46,1999-10-31,Las Vegas,Los Angeles,8.28
47,1999-10-31,San Francisco,Los Angeles,-0.029229406554472984
48,1999-10-31,Chicago,Minneapolis,-1.4466019417475728
49,1999-10-31,Los Angeles,San Francisco,2.0208333333333335
50,1999-11-30,Minneapolis,Chicago,-1.1561618062088428
51,1999-11-30,Las Vegas,Los Angeles,7.827046918123275
52,1999-11-30,San Francisco,Los Angeles,7.391347099311701
53,1999-11-30,Chicago,Minneapolis,-1.9689557855127
54,1999-11-30,Los Angeles,San Francisco,7.9312015503875966
55,1999-12-31,Minneapolis,Chicago,2.1585106382978725
56,1999-12-31,Las Vegas,Los Angeles,5.342245989304812
57,1999-12-31,San Francisco,Los Angeles,-3.8464285714285715
58,1999-12-31,Chicago,Minneapolis,4.8400423728813555
59,1999-12-31,Los Angeles,San Francisco,-2.9196822594880847
0,2000-01-31,Minneapolis,Chicago,3.1956967213114753
1,2000-01-31,Las Vegas,Los Angeles,5.20460358056266
2,2000-01-31,San Francisco,Los Angeles,8.177136972193615
3,2000-01-31,Chicago,Minneapolis,2.274793388429752
4,2000-01-31,Los Angeles,San Francisco,4.144171779141105
5,2000-02-29,Minneapolis,Chicago,4.007454739084132
6,2000-02-29,Las Vegas,Los Angeles,11.48417132216015
7,2000-02-29,San Francisco,Los Angeles,22.599763872491145
8,2000-02-29,Chicago,Minneapolis,4.676086956521739
9,2000-02-29,Los Angeles,San Francisco,18.553846153846155
10,2000-03-31,Minneapolis,Chicago,-0.22659176029962547
11,2000-03-31,Las Vegas,Los Angeles,8.925647451963242
12,2000-03-31,San Francisco,Los Angeles,4.663479923518165
13,2000-03-31,Chicago,Minneapolis,1.3529411764705883
14,2000-03-31,Los Angeles,San Francisco,5.012512030798845
15,2000-04-30,Minneapolis,Chicago,2.7977867203219318
16,2000-04-30,Las Vegas,Los Angeles,7.635075287865368
17,2000-04-30,San Francisco,Los Angeles,9.331400966183574
18,2000-04-30,Chicago,Minneapolis,2.6741573033707864
19,2000-04-30,Los Angeles,San Francisco,8.617618586640852
20,2000-05-31,Minneapolis,Chicago,4.20375865479723
21,2000-05-31,Las Vegas,Los Angeles,5.995020746887967
22,2000-05-31,San Francisco,Los Angeles,11.05720122574055
23,2000-05-31,Chicago,Minneapolis,3.8413793103448275
24,2000-05-31,Los Angeles,San Francisco,11.443406022845275
25,2000-06-30,Minneapolis,Chicago,9.045589692765114
26,2000-06-30,Las Vegas,Los Angeles,7.219383259911894
27,2000-06-30,San Francisco,Los Angeles,11.99003984063745
28,2000-06-30,Chicago,Minneapolis,9.718562874251496
29,2000-06-30,Los Angeles,San Francisco,12.259818731117825
30,2000-07-31,Minneapolis,Chicago,5.376840039254171
31,2000-07-31,Las Vegas,Los Angeles,4.933333333333334
32,2000-07-31,San Francisco,Los Angeles,22.9723991507431
33,2000-07-31,Chicago,Minneapolis,9.501972386587772
34,2000-07-31,Los Angeles,San Francisco,17.96186440677966
35,2000-08-31,Minneapolis,Chicago,6.412103746397695
36,2000-08-31,Las Vegas,Los Angeles,9.866340668296658
